a2b.night_bonus;當你的部隊抵達時，對方將有晚間防守加成！其加成為 {{BONUS}}%。
anmelden.activation_tribeSelection_new;新
anmelden.activation_tribeSelection_recommended;推薦新玩家使用
anmelden.activation_sectorSelection_headline;選擇你的起始點
anmelden.activation_sectorSelection_text;你想從哪裏開始建造你的帝國？使用「推薦」區域選取最佳位置。或者選擇好友所在的區域與他們合作！
anmelden.activation_sectorSelection_recommended;推薦
anmelden.activation_sectorSelection_northWest;北 - 西
anmelden.activation_sectorSelection_northEast;北 - 東
anmelden.activation_sectorSelection_southWest;南 - 西
anmelden.activation_sectorSelection_southEast;南 - 東
anmelden.activation_confirmation_headline;準備好統治世界了嗎？
anmelden.activation_confirm_button;確認
anmelden.activation_accept_challenge;你的選擇完成了。再點選以下以接受挑戰！
anmelden.activation_play_now_button;現在開始遊戲
anmelden.back;返回
anmelden.welcomeIGM_text_AS2017;{{PLAYERNAME}}，歡迎你，這是你的新家。四周看看吧。鬱鬱蔥蔥的資源田，金色的莊稼以及鐵礦山，這些都屬於你。你的村莊現在也許很小，但憑藉足夠的智慧和努力，你能將它建設成一個帝國。不過，偉大統治者需要的不僅僅是美德，更需要智慧。所以先聽我說完：<br>這個世界是靠資源運轉。建築需要資源，軍隊需要資源，所有戰爭都是為了爭奪資源。然而，你要記住這一點：資源是一種實現目的的手段。所以，要記得花費資源。你的新手保護將結束，掠奪者不會等太久。定期登入遊戲并投資裂縫以及更多資源田，從而確保經濟持續繁榮。<br>深吸一口氣。雨後的空氣也許很清新，但已經帶有灰塵的氣息。你無法逃避戰爭。但外交藝術不再是個秘密：多跟別人交流。結交朋友，加入一個聯盟。他們會在你需要的時候提供支持以及無數建議。此外，你也應該給侵略你的人寫信。你會發現，你們通常可以達成一個互利的協議。<br>現在放置第一塊石頭。這是你的紀念碑。不過不會只有一塊的。你應該盡快計劃開墾第二個村莊。這樣，你的選擇將會多得多，從而你的戰鬥力也會大得多。更多資源，更多安排建築功能的方式，從而擁有更多策略。此外，更靠近你的朋友也是一個不容忽視的優點。<br>別再廢話了。開始行動吧。咨詢任務大師，他已經給你安排了很好的計劃。讓我用一句非常寶貴的智慧之言來結束這次談話：你永遠都不會真正失敗，除非你自己放棄。一路上會有挑戰，會有周折，但只有克服它們，你才能成長。每一個偉大的故事都不會一帆順風。現在去向世人展現你的本領吧。
anmelden.welcomeIGM_text_variant_1;{{PLAYERNAME}}，歡迎你，這是你的新家。四周看看吧。鬱鬱蔥蔥的資源田，金色的莊稼以及鐵礦山，這些都屬於你。你的村莊現在也許很小，但憑藉足夠的智慧和努力，你能將它建設成一個帝國。不過，偉大統治者需要的不僅僅是美德，更需要智慧。所以先聽我說完：<br>這個世界是靠資源運轉。建築需要資源，軍隊需要資源，所有戰爭都是為了爭奪資源。然而，你要記住這一點：資源是一種實現目的的手段。所以，要記得花費資源。你的新手保護將在{{NOOB_PROTECTION_DAYS}}天後結束，掠奪者很快就會來到了。定期遊玩並投資資源倉庫以及更多資源田地，從而確保經濟持續繁榮。<br>深吸一口氣。雨後的空氣也許很清新，但已經帶有灰塵的氣息。你無法逃避戰爭。但外交藝術不再是個秘密：多跟別人交流。結交朋友，加入一個聯盟。他們會在你需要的時候提供支持以及無數建議。此外，你也應該給侵略你的人寫信。你會發現，你們通常可以達成一個互利的協議。<br>現在放置第一塊石頭。這是你的紀念碑。不過不會只有一塊的。你應該盡快計劃開墾第二個村莊。這樣，你的選擇將會多得多，從而你的戰鬥力也會大得多。更多資源，更多安排建築功能的方式，從而擁有更多策略。此外，更靠近你的朋友也是一個不容忽視的優點。<br>別再廢話了。開始行動吧。咨詢任務大師，他已經給你安排了很好的計劃。讓我用一句非常寶貴的智慧之言來結束這次談話：你永遠都不會真正失敗，除非你自己放棄。一路上會有挑戰，會有周折，但只有克服它們，你才能成長。每一個偉大的故事都不會一帆順風。現在去向世人展現你的本領吧。
anmelden.error_weCannotRegisterActivateAccountRightNow;我們現在無法註冊/啟動您的賬戶。請稍後嘗試或使用其他輸入數據。
anmelden.factionsSelection;選擇你的派系
anmelden.factionsDescription;選擇你發誓要效忠的派系，與其他派系作戰以一統世界
anmelden.factionsEmpire;帝國
anmelden.factionsEmpireDescription;在地圖的中心建立帝國。該派系的四周都有敵方派系，在樹立其統治地位前還有很多戰鬥要去面對。
anmelden.factionsMarauders;掠奪者
anmelden.factionsMaraudersDescription;在地圖的北部建立掠奪者。該派系附近有敵方派系，戰鬥不久將點燃，村莊將被燒毀。希望是敵方的村莊！
anmelden.factionsRebels;反叛軍
anmelden.factionsRebelsDescription;在地圖的西北部建立反叛軍。西南部有大量無人認領的土地，肯定有一個穩定的開始，不是嗎？
anmelden.factionsDynasty;王朝
anmelden.factionsDynastyDescription;在地圖的南部建立王朝。保護肥沃的土地免受敵方派系的侵占，對敵方派系進行還擊。
anmelden.factionsHorde;部落
anmelden.factionsHordeDescription;在地圖的東部建立部落。侵略歐洲，摧壞觸手可及的每個派系。
anmelden.changeSelection;變更
anmelden.confirmSelection;確認你的選擇
anmelden.confirmSelectionDescription;確認選擇，開始冒險
anmelden.letsPlay;讓我們遊玩吧
anmelden.update;更新
anmelden.activation_recommended_sectorSelection_text;你想從哪裏開始建造你的帝國？使用「推薦」區域選取最佳位置。或者選擇好友所在的區域與他們合作！
anmelden.activation_friend_sectorSelection_text;你的好友{{NAME}}已出現在所標示區域。加入他們！聯合起來你就能勝利。
anmelden.activation_sectorSelection_join_friend;加入好友
anmelden.error_notYetStarted;遊戲世界還沒開始。
anmelden.volk8;斯巴達人
anmelden.tribe8_notes;<br><br>    時間要求中等<br>    高效穀物消耗<br>    更容易從戰鬥中復原<br>    推薦活躍的新玩家使用<br>
anmelden.volk9;維京人
anmelden.confirmAndSetAvatarDescription;確認選擇，確認頭像名稱，開始冒險
anmelden.avatarName;頭像名稱
anmelden.enterAvatarName;輸入頭像名稱
anmelden.avatarNameToShort;頭像名稱必須包含{{INT}}個字元以上
anmelden.avatarNameToLong;頭像名稱無法包含超過{{INT}}個字元
anmelden.avatarNameUnique;頭像名稱僅用於目前遊戲世界，且必須專屬於你。
anmelden.welcomeIGM_text;{{PLAYERNAME}}，歡迎你，這是你的新家。四周看看吧。鬱鬱蔥蔥的資源田，金色的莊稼以及鐵礦山，這些都屬於你。你的村莊現在也許很小，但憑藉足夠的智慧和努力，你能將它建設成一個帝國。不過，偉大統治者需要的不僅僅是美德，更需要智慧。所以先聽我說完：<br>這個世界是靠資源運轉。建築需要資源，軍隊需要資源，所有戰爭都是為了爭奪資源。然而，你要記住這一點：資源是一種實現目的的手段。所以，要記得花費資源。你的新手保護將在{{BEGINNERS_PROTECTION_DAYS}}天後結束，掠奪者很快就會來到了。定期遊玩並投資資源倉庫以及更多資源田地，從而確保經濟持續繁榮。<br>深吸一口氣。雨後的空氣也許很清新，但已經帶有灰塵的氣息。你無法逃避戰爭。但外交藝術不再是個秘密：多跟別人交流。結交朋友，加入一個聯盟。他們會在你需要的時候提供支持以及無數建議。此外，你也應該給侵略你的人寫信。你會發現，你們通常可以達成一個互利的協議。<br>現在放置第一塊石頭。這是你的紀念碑。不過不會只有一塊的。你應該盡快計劃開墾第二個村莊。這樣，你的選擇將會多得多，從而你的戰鬥力也會大得多。更多資源，更多安排建築功能的方式，從而擁有更多策略。此外，更靠近你的朋友也是一個不容忽視的優點。<br>別再廢話了。開始行動吧。咨詢任務大師，他已經給你安排了很好的計劃。讓我用一句非常寶貴的智慧之言來結束這次談話：你永遠都不會真正失敗，除非你自己放棄。一路上會有挑戰，會有周折，但只有克服它們，你才能成長。每一個偉大的故事都不會一帆順風。現在去向世人展現你的本領吧。
anmelden.avatarNameInfobox;這是你在遊戲世界的頭像名稱。
anmelden.tribe9_notes;<br><br>    時間要求較高<br>    在遊戲早期善於掠奪<br>    強大的步兵，坐船速度快<br>    適於攻擊性玩家<br>
anmelden.avatarRespawnOnlyOwner;此功能僅限頭像擁有者使用。
anmelden.avatarRespawnOnlyDuringBeginnersProtection;此功能僅在新手保護期間可用。
anmelden.avatarRespawnRegistrationClosed;此功能只有在開放註冊的遊戲世界中才能使用。
anmelden.avatarRespawnNotInDeletion;被刪除的頭像無法使用此功能。
anmelden.avatarRespawnNotLocked;無法對遭禁的頭像使用此功能。
anmelden.avatarRespawnAuctionUnlocked;解鎖進入拍賣會後，就無法使用此功能。
anmelden.avatarRespawnOnlyOneVillage;此功能只適用於一座村莊。
anmelden.error_nameReserved;此名稱已保留。
anmelden.avatarRespawnAfterBuyingOtoIsNotAllowed;購買商店的一次性優惠後，將無法再使用此功能。
answers.position_detail_village;285
answers.position_detail_valley;285
answers.position_detail_oasis_unoccupied;285
answers.position_detail_oasis_occupied;285
answers.position_detail_wilderness;285
answers.position_detail_village_title;Travian 解答
answers.position_detail_valley_title;Travian 解答
answers.position_detail_oasis_unoccupied_title;Travian 解答
answers.position_detail_oasis_occupied_title;Travian 解答
answers.position_detail_wilderness_title;Travian 解答
answers.pushingProtection;103
answers.manualPeople;7
answers.manualPeople_title;Travian 解答
answers.event_jam;249
answers.event_jam_title;Travian 解答
answers.village_resources;300
answers.village_details_own;301
answers.village_overview;310
answers.map;106
answers.statistics_user;112
answers.statistics_alliance;112
answers.statistics_villages;112
answers.statistics_heroes;112
answers.statistics_plus;112
answers.statistics_worldwonder;112
answers.statistics_world;112
answers.reports_overview;99
answers.reports_troops;99
answers.reports_trade;99
answers.reports_other;99
answers.reports_archive;270
answers.reports_area;99
answers.reports_details;99
answers.messages_inbox;99
answers.messages_writing;99
answers.messages_sended;99
answers.messages_archive;99
answers.messages_notepad;99
answers.messages_details;99
answers.alliance_overview;250
answers.alliance_profile;78
answers.alliance_reports;99
answers.alliance_chat;286
answers.alliance_options;271
answers.alliance_options_rights;275
answers.alliance_options_name_change;272
answers.alliance_options_player_fire;279
answers.alliance_options_alliance_description_edit;273
answers.alliance_options_overview_edit;274
answers.alliance_options_diplomacy;278
answers.alliance_options_player_invite;277
answers.alliance_options_forum_link_edit;276
answers.alliance_options_alliance_leave;280
answers.a2b_send_troops_home;172
answers.a2b_send_settlers_for_new_village;108
answers.a2b_send_hero_to_adventure;226
answers.a2b_send_troops;172
answers.player_details;312
answers.player_profile_edit;312
answers.player_settings;313
answers.player_account_settings;313
answers.warsim;289
answers.manual;268
answers.help;266
answers.help_contact_support;137
answers.help_plus_support;267
answers.support;137
answers.support_form;247
answers.error_site;287
answers.plus_tariff;207
answers.plus_pros;258
answers.plus_credit;258
answers.plus_exchange_silver;244
answers.plus_faq;259
answers.plus_earn_gold;218
answers.forum_overview;210
answers.forum_new_forum;210
answers.forum_thread_overview;210
answers.forum_new_thread;210
answers.forum_post_overview;210
answers.forum_new_post_entry;210
answers.user_signup;21
answers.user_activate;21
answers.login;8
answers.logout;22
answers.cropfinder;30
answers.hero_adventure;226
answers.hero_auction_buy;243
answers.hero_auction_sell;246
answers.hero_auction_bids;270
answers.hero_inventory;110
answers.hero_editor;261
answers.raid_list_overview;31
answers.raid_list_create;31
answers.raid_list_create_and_edit_entry;31
answers.build_new_building;26
answers.building;213
answers.building1;195
answers.building2;189
answers.building3;193
answers.building4;190
answers.building5;194
answers.building6;188
answers.building7;192
answers.building8;191
answers.building9;187
answers.building10;51
answers.building11;5
answers.building13;76
answers.building14;184
answers.building15;15
answers.building16;182
answers.building_rally_point_goldclub;69
answers.building17;16
answers.building_marketplace_send;16
answers.building_marketplace_buy;16
answers.building_marketplace_sell;16
answers.building_marketplace_npc_trade;55
answers.building_marketplace_trade_routes;71
answers.building18;4
answers.building19;77
answers.building20;183
answers.building21;186
answers.building22;75
answers.building23;11
answers.building24;46
answers.building25;18
answers.building_residence_drill;18
answers.building_residence_culture_points;102
answers.building_residence_acceptance;269
answers.building_residence_expansion;262
answers.building26;17
answers.building_palace_drill;17
answers.building_palace_culture_points;102
answers.building_palace_acceptance;116
answers.building_palace_expansion;262
answers.building27;50
answers.building_treasury_artefact_in_near;90
answers.building_treasury_artefact_own;90
answers.building_treasury_artefact_small;90
answers.building_treasury_artefact_great;90
answers.building_treasury_artefact_details;90
answers.building28;48
answers.building29;178
answers.building30;179
answers.building31;85
answers.building32;86
answers.building33;181
answers.building34;19
answers.building35;9
answers.building36;185
answers.building37;180
answers.building38;13
answers.building39;12
answers.building40;73
answers.building41;14
answers.village_resources_title;Travian 解答
answers.village_details_own_title;Travian 解答
answers.village_overview_title;Travian 解答
answers.map_title;Travian 解答
answers.statistics_user_title;Travian 解答
answers.statistics_alliance_title;Travian 解答
answers.statistics_villages_title;Travian 解答
answers.statistics_heroes_title;Travian 解答
answers.statistics_plus_title;Travian 解答
answers.statistics_worldwonder_title;Travian 解答
answers.statistics_world_title;Travian 解答
answers.reports_overview_title;Travian 解答
answers.reports_troops_title;Travian 解答
answers.reports_trade_title;Travian 解答
answers.reports_other_title;Travian 解答
answers.reports_archive_title;Travian 解答
answers.reports_area_title;Travian 解答
answers.reports_details_title;Travian 解答
answers.messages_inbox_title;Travian 解答
answers.messages_writing_title;Travian 解答
answers.messages_sended_title;Travian 解答
answers.messages_archive_title;Travian 解答
answers.messages_notepad_title;Travian 解答
answers.messages_details_title;Travian 解答
answers.alliance_overview_title;Travian 解答
answers.alliance_profile_title;Travian 解答
answers.alliance_reports_title;Travian 解答
answers.alliance_chat_title;Travian 解答
answers.alliance_options_title;Travian 解答
answers.alliance_options_rights_title;Travian 解答
answers.alliance_options_name_change_title;Travian 解答
answers.alliance_options_player_fire_title;Travian 解答
answers.alliance_options_alliance_description_edit_title;Travian 解答
answers.alliance_options_overview_edit_title;Travian 解答
answers.alliance_options_diplomacy_title;Travian 解答
answers.alliance_options_player_invite_title;Travian 解答
answers.alliance_options_forum_link_edit_title;Travian 解答
answers.alliance_options_alliance_leave_title;Travian 解答
answers.a2b_send_troops_home_title;Travian 解答
answers.a2b_send_settlers_for_new_village_title;Travian 解答
answers.a2b_send_hero_to_adventure_title;Travian 解答
answers.a2b_send_troops_title;Travian 解答
answers.player_details_title;Travian 解答
answers.player_profile_edit_title;Travian 解答
answers.player_settings_title;Travian 解答
answers.player_account_settings_title;Travian 解答
answers.player_grafikpacks_title;Travian 解答
answers.warsim_title;Travian 解答
answers.manual_title;Travian 解答
answers.help_title;Travian 解答
answers.help_contact_support_title;Travian 解答
answers.help_plus_support_title;Travian 解答
answers.support_title;Travian 解答
answers.support_form_title;Travian 解答
answers.error_site_title;Travian 解答
answers.plus_tariff_title;Travian 解答
answers.plus_payment_offerer_title;Travian 解答
answers.plus_pros_title;Travian 解答
answers.plus_credit_title;Travian 解答
answers.plus_exchange_silver_title;Travian 解答
answers.plus_faq_title;Travian 解答
answers.plus_earn_gold_title;Travian 解答
answers.plus_vip_invite_title;Travian 解答
answers.forum_overview_title;Travian 解答
answers.forum_new_forum_title;Travian 解答
answers.forum_thread_overview_title;Travian 解答
answers.forum_new_thread_title;Travian 解答
answers.forum_post_overview_title;Travian 解答
answers.forum_new_post_entry_title;Travian 解答
answers.user_signup_title;Travian 解答
answers.user_activate_title;Travian 解答
answers.login_title;Travian 解答
answers.logout_title;Travian 解答
answers.cropfinder_title;Travian 解答
answers.hero_adventure_title;Travian 解答
answers.hero_auction_buy_title;Travian 解答
answers.hero_auction_sell_title;Travian 解答
answers.hero_auction_bids_title;Travian 解答
answers.hero_inventory_title;Travian 解答
answers.hero_editor_title;Travian 解答
answers.raid_list_overview_title;Travian 解答
answers.raid_list_create_title;Travian 解答
answers.raid_list_create_and_edit_entry_title;Travian 解答
answers.build_new_building_title;Travian 解答
answers.building_title;Travian 解答
answers.building1_title;Travian 解答
answers.building2_title;Travian 解答
answers.building3_title;Travian 解答
answers.building4_title;Travian 解答
answers.building5_title;Travian 解答
answers.building6_title;Travian 解答
answers.building7_title;Travian 解答
answers.building8_title;Travian 解答
answers.building9_title;Travian 解答
answers.building10_title;Travian 解答
answers.building11_title;Travian 解答
answers.building13_title;Travian 解答
answers.building14_title;Travian 解答
answers.building15_title;Travian 解答
answers.building16_title;Travian 解答
answers.building_rally_point_goldclub_title;Travian 解答
answers.building17_title;Travian 解答
answers.building_marketplace_send_title;Travian 解答
answers.building_marketplace_buy_title;Travian 解答
answers.building_marketplace_sell_title;Travian 解答
answers.building_marketplace_npc_trade_title;Travian 解答
answers.building_marketplace_trade_routes_title;Travian 解答
answers.building18_title;Travian 解答
answers.building19_title;Travian 解答
answers.building20_title;Travian 解答
answers.building21_title;Travian 解答
answers.building22_title;Travian 解答
answers.building23_title;Travian 解答
answers.building24_title;Travian 解答
answers.building25_title;Travian 解答
answers.building_residence_management_title;Travian 解答
answers.building_residence_drill_title;Travian 解答
answers.building_residence_culture_points_title;Travian 解答
answers.building_residence_acceptance_title;Travian 解答
answers.building_residence_expansion_title;Travian 解答
answers.building26_title;Travian 解答
answers.building_palace_drill_title;Travian 解答
answers.building_palace_culture_points_title;Travian 解答
answers.building_palace_acceptance_title;Travian 解答
answers.building_palace_expansion_title;Travian 解答
answers.building27_title;Travian 解答
answers.building_treasury_artefact_in_near_title;Travian 解答
answers.building_treasury_artefact_own_title;Travian 解答
answers.building_treasury_artefact_small_title;Travian 解答
answers.building_treasury_artefact_great_title;Travian 解答
answers.building_treasury_artefact_details_title;Travian 解答
answers.building28_title;Travian 解答
answers.building29_title;Travian 解答
answers.building30_title;Travian 解答
answers.building31_title;Travian 解答
answers.building32_title;Travian 解答
answers.building33_title;Travian 解答
answers.building34_title;Travian 解答
answers.building35_title;Travian 解答
answers.building36_title;Travian 解答
answers.building37_title;Travian 解答
answers.building38_title;Travian 解答
answers.building39_title;Travian 解答
answers.building40_title;Travian 解答
answers.building41_title;Travian 解答
answers.default_title;Travian 解答
answers.building_marketplace_management;16
answers.building_marketplace_management_title;Travian 解答
answers.building_residence_management;18
answers.building_palace_management;17
answers.building_palace_management_title;Travian 解答
answers.building_treasury_management;50
answers.building_treasury_management_title;Travian 解答
answers.building_rallypoint_management;182
answers.building_rallypoint_management_title;Travian 解答
answers.send_hero_to_adventure_title;235
answers.send_hero_to_adventure;226
answers.production_overview;365
answers.production_overview_title;Travian 解答
answers.linklist;373
answers.linklist_title;Travian 解答
answers.premiumProductionBoost;Travian 解答
answers.premiumPlus;Travian 解答
answers.premiumGoldclub;Travian 解答
answers.paymentSmallestPackage;368
answers.finishNow;372
answers.payment_wizard_buy_gold;368
answers.payment_wizard_buy_gold_title;Travian 解答
answers.payment_wizard_pros;367
answers.payment_wizard_pros_title;Travian 解答
answers.payment_wizard_plus_support;370
answers.payment_wizard_plus_support_title;Travian 解答
answers.payment_wizard_earn_gold;369
answers.payment_wizard_earn_gold_title;Travian 解答
answers.tutorial_01_title;Travian 解答
answers.tutorial_01;332
answers.tutorial_02_title;Travian 解答
answers.tutorial_02;333
answers.tutorial_03_title;Travian 解答
answers.tutorial_03;334
answers.tutorial_04_title;Travian 解答
answers.tutorial_04;335
answers.tutorial_05_title;Travian 解答
answers.tutorial_05;336
answers.tutorial_06_title;Travian 解答
answers.tutorial_06;337
answers.tutorial_07_title;Travian 解答
answers.tutorial_07;338
answers.tutorial_08_title;Travian 解答
answers.tutorial_08;339
answers.tutorial_09_title;Travian 解答
answers.tutorial_09;340
answers.tutorial_10_title;Travian 解答
answers.tutorial_10;341
answers.tutorial_11_title;Travian 解答
answers.tutorial_11;342
answers.tutorial_12_title;Travian 解答
answers.tutorial_12;343
answers.tutorial_13_title;Travian 解答
answers.tutorial_13;344
answers.tutorial_14_title;Travian 解答
answers.tutorial_14;345
answers.tutorial_15_title;Travian 解答
answers.tutorial_15;345
answers.tutorial_15a_title;Travian 解答
answers.world_01;347
answers.world_01_title;Travian 解答
answers.world_02;348
answers.world_02_title;Travian 解答
answers.world_03;349
answers.world_03_title;Travian 解答
answers.world_04;350
answers.world_04_title;Travian 解答
answers.world_05;307
answers.world_05_title;Travian 解答
answers.world_06;352
answers.world_06_title;Travian 解答
answers.world_06d;352
answers.world_06d_title;Travian 解答
answers.world_07;353
answers.world_07_title;Travian 解答
answers.world_08;354
answers.world_08_title;Travian 解答
answers.world_09;355
answers.world_09_title;Travian 解答
answers.world_10;356
answers.world_10_title;Travian 解答
answers.world_11;357
answers.world_11_title;Travian 解答
answers.world_12;358
answers.world_12_title;Travian 解答
answers.world_13;359
answers.world_13_title;Travian 解答
answers.world_14;360
answers.world_14_title;Travian 解答
answers.world_15;361
answers.world_15_title;Travian 解答
answers.world_16;362
answers.world_16_title;Travian 解答
answers.economy_01;320
answers.economy_01_title;Travian 解答
answers.economy_02;321
answers.economy_02_title;Travian 解答
answers.economy_03;322
answers.economy_03_title;Travian 解答
answers.economy_04;323
answers.economy_04_title;Travian 解答
answers.economy_05;324
answers.economy_05_title;Travian 解答
answers.economy_06;325
answers.economy_06_title;Travian 解答
answers.economy_07;326
answers.economy_07_title;Travian 解答
answers.economy_08;327
answers.economy_08_title;Travian 解答
answers.economy_09;328
answers.economy_09_title;Travian 解答
answers.economy_10;329
answers.economy_10_title;Travian 解答
answers.economy_11;330
answers.economy_11_title;Travian 解答
answers.economy_12;331
answers.economy_12_title;Travian 解答
answers.battle_01;305
answers.battle_01_title;Travian 解答
answers.battle_02;306
answers.battle_02_title;Travian 解答
answers.battle_03;307
answers.battle_03_title;Travian 解答
answers.battle_04;308
answers.battle_04_title;Travian 解答
answers.battle_05;309
answers.battle_05_title;Travian 解答
answers.battle_06;310
answers.battle_06_title;Travian 解答
answers.battle_07;311
answers.battle_07_title;Travian 解答
answers.battle_08;312
answers.battle_08_title;Travian 解答
answers.battle_09;313
answers.battle_09_title;Travian 解答
answers.battle_10;314
answers.battle_10_title;Travian 解答
answers.battle_11;315
answers.battle_11_title;Travian 解答
answers.battle_12;316
answers.battle_12_title;Travian 解答
answers.battle_13;317
answers.battle_13_title;Travian 解答
answers.battle_14;318
answers.battle_14_title;Travian 解答
answers.battle_15;411
answers.battle_15_title;Travian 解答
answers.world_07a;353
answers.world_07a_title;Travian 解答
answers.world_07b;353
answers.world_07b_title;Travian 解答
answers.options_game;371
answers.options_game_title;Help
answers.options_account;371
answers.options_account_title;Help
answers.options_sitter;128
answers.options_sitter_title;Help
answers.questTodoList;376
answers.questTodoList_title;Help
answers.mark_player_as_spammer;Help
answers.hero_auction_accounting;388
answers.world_06a;352
answers.world_06a_title;Travian 解答
answers.world_06b;352
answers.world_06b_title;Travian 解答
answers.demolishNow;219
answers.a2b_merge_troops;172
answers.a2b_merge_troops_title;Travian 解答
answers.options_vacation;412
answers.options_vacation_title;Travian 解答
answers.new_village_01;320
answers.new_village_01_title;Travian 解答
answers.new_village02;321
answers.new_village_02_title;Travian 解答
answers.new_village_03;323
answers.new_village_03_title;Travian 解答
answers.new_village_04;324
answers.new_village_04_title;Travian 解答
answers.new_village_05;327
answers.new_village_05_title;Travian 解答
answers.new_village_06;330
answers.new_village_06_title;Travian 解答
answers.new_village_07;331
answers.new_village_07_title;Travian 解答
answers.new_village_08;355
answers.new_village_08_title;Travian 解答
answers.new_village_09;356
answers.new_village_09_title;Travian 解答
answers.new_village_10;357
answers.new_village_10_title;Travian 解答
answers.new_village_11;360
answers.new_village_11_title;Travian 解答
answers.new_village_12;361
answers.new_village_12_title;Travian 解答
answers.newvillage_01;320
answers.newvillage_01_title;Travian 解答
answers.newvillage02;321
answers.newvillage_02_title;Travian 解答
answers.newvillage_03;323
answers.newvillage_03_title;Travian 解答
answers.newvillage_04;324
answers.newvillage_04_title;Travian 解答
answers.newvillage_05;327
answers.newvillage_05_title;Travian 解答
answers.newvillage_06;330
answers.newvillage_06_title;Travian 解答
answers.newvillage_07;331
answers.newvillage_07_title;Travian 解答
answers.newvillage_08;355
answers.newvillage_08_title;Travian 解答
answers.newvillage_09;356
answers.newvillage_09_title;Travian 解答
answers.newvillage_10;357
answers.newvillage_10_title;Travian 解答
answers.newvillage_11;360
answers.newvillage_11_title;Travian 解答
answers.newvillage_12;361
answers.newvillage_12_title;Travian 解答
answers.newvillage_02;321
answers.default;1
answers.battle_16;362
answers.battle_16_title;Travian 解答
answers.messages_ignore;99
answers.a2b_forward_troops;416
answers.a2b_forward_troops_title;Travian 解答
answers.region_detail;418
answers.region_detail_title;Travian 解答
answers.world_06e;352
answers.world_06e_title;Travian 解答
answers.hospital;423
answers.advanced_start;426
answers.economy_00_title;Travian 解答
answers.building46;423
answers.tasks_title;Travian 解答
answers.referAFriend_title;Travian 解答
api.um;在
api.uhr;點鐘
api.sms_n0;SMS確認
api.sms_n1;您好
api.sms_n2;感謝您SMS 。
api.sms_n310;您的Plus Account被延長了
api.sms_n311;天和有效期到
api.sms_n320;您的Plus Account被啟動了其有效期到
api.sms_n321;天直到
api.sms_n4;敬上<br><br>Support
api.pbc_n0;PayByCall確認
api.pbc_n2;感謝您使用我們的PayByCall服務。
api.pbc_n31;您的Plus Account被延長了一個月和有效期到
api.pbc_n32;您的Plus Account被啟動了一個月和有效期到
api.pbc_n1;您好
api.pbc_n310;您的Plus Account被延長了
api.pbc_n311;天和有效期到
api.pbc_n320;您的Plus Account被啟動了和有效期到
api.pbc_n321;天直到
api.pbc_n4;敬上<br><br>Support
api.betreff_plus;Plus確認
api.betreff_gold;已成功訂購
api.bestellung1;您好 {{NAME}}，<br><br>感謝您的支持，我們已成功收到您的繳費款項。
api.bestellung2;<br><br>敬上<br><br>Support
api.plus_verlaengert;您的Plus Account被延長了 {{TAGE}}日 和有效期到 {{DATUM}} @ {{UHR}}
api.plus_aktiviert;您的Plus Account被啟動了 {{TAGE}}日 和有效期到 {{DATUM}} @ {{UHR}}
api.plusgold_erstellt;{{INT}} 金增已加到您的帳戶。
api.v1.parseError;分析錯誤
api.v1.passwordIsRequired;需要密碼
api.v1.newEmailIsRequired;需要新的電子郵件地址
api.v1.oldEmailIsRequired;需要舊的電子郵件地址
api.v1.codeIsInvalid;代碼無效
api.v1.couldNotProcessActivationCode;無法處理啟用代碼
api.v1.loginError.1;工作階段已過期
api.v1.loginError.2;密碼錯誤
api.v1.loginError.3;Cookie 無效
api.v1.loginError.4;名稱缺失
api.v1.loginError.5;密碼缺失
api.v1.loginError.7;使用者不存在
api.v1.loginError.8;帳戶未使用
api.v1.loginError.9;你不是機器人，是嗎？
api.v1.loginError.10;託管人太多
api.v1.loginError.11;帳號設定錯誤
api.v1.loginError.12;驗證碼無效
api.v1.loginError.13;交易無法開始
api.v1.loginError.99;一般登入錯誤
api.v1.updatePassword.noRecoveryCode;v1.updatePassword.noRecoveryCode
api.v1.updatePassword.noUid;v1.updatePassword.noUid
api.v1.passwordRecovery.emptyEmail;v1.passwordRecovery.emptyEmail
api.v1.forgottenGameworld.emptyEmail;v1.forgottenGameworld.emptyEmail
api.v1.forgottenGameworld.userNotFound;v1.forgottenGameworld.userNotFound
api.v1.updatePassword.noPassword;v1.updatePassword.noPassword
api.v1.registrationByEmail.emailIsRequired;v1.registrationByEmail.emailIsRequired
api.v1.registrationByEmail.unknownRegistration;v1.registrationByEmail.unknownRegistration
api.v1.uidIsRequired;v1.uidIsRequired
api.v1.paynetRedeemVoucherTryAgainIn;您試過太多次。再次嘗試時間：{{TIME}}
api.v1.trainUnits.emptyBuildingId;v1.trainUnits.emptyBuildingId
api.v1.trainUnits.buildingNotFound;v1.trainUnits.buildingNotFound
api.v1.trainUnits.emptyUnits;v1.trainUnits.emptyUnits
api.v1.trainUnits.buildingNotForTraining;v1.trainUnits.buildingNotForTraining
api.v1.trainUnits.unitNotResearched;v1.trainUnits.unitNotResearched
api.v1.trainUnits.incorrectBuilding;v1.trainUnits.incorrectBuilding
api.v1.trainUnits.cannotBeTrained;v1.trainUnits.cannotBeTrained
api.v1.trainUnits.buildingAccessDenied;v1.trainUnits.buildingAccessDenied
api.v1.badRequest;錯誤請求參數
